environment,method,planner_name,solved,valid_replay,plan_length,expanded,generated,grounded_actions,time_ms,raw_stdout,raw_stderr,plan_txt,metrics_json,trace_json,search_profile_json,plan_panel,plan_animation,blockworld_3d_panel,blockworld_3d_animation,fire_3d_panel,fire_3d_animation,robot_task_3d_panel,robot_task_3d_animation
BlocksTriangleBridge.txt,astar_hadd,A Star Search [delete-relaxation-hadd],True,True,7,7,61,576,42.0098,outputs/runs/BlocksTriangleBridge/astar_hadd/stdout.txt,outputs/runs/BlocksTriangleBridge/astar_hadd/stderr.txt,outputs/runs/BlocksTriangleBridge/astar_hadd/plan.txt,outputs/runs/BlocksTriangleBridge/astar_hadd/metrics.json,outputs/runs/BlocksTriangleBridge/astar_hadd/trace.json,outputs/runs/BlocksTriangleBridge/astar_hadd/search_profile.json,outputs/visualizations/BlocksTriangleBridge/astar_hadd/plan_panel.png,outputs/visualizations/BlocksTriangleBridge/astar_hadd/plan_animation.gif,outputs/visualizations/BlocksTriangleBridge/astar_hadd/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleBridge/astar_hadd/blockworld_3d_animation.gif,,,,
BlocksTriangleBridge.txt,optimal,A Star Search [delete-relaxation-hmax],True,True,7,219,1270,576,746.772,outputs/runs/BlocksTriangleBridge/optimal/stdout.txt,outputs/runs/BlocksTriangleBridge/optimal/stderr.txt,outputs/runs/BlocksTriangleBridge/optimal/plan.txt,outputs/runs/BlocksTriangleBridge/optimal/metrics.json,outputs/runs/BlocksTriangleBridge/optimal/trace.json,outputs/runs/BlocksTriangleBridge/optimal/search_profile.json,outputs/visualizations/BlocksTriangleBridge/optimal/plan_panel.png,outputs/visualizations/BlocksTriangleBridge/optimal/plan_animation.gif,outputs/visualizations/BlocksTriangleBridge/optimal/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleBridge/optimal/blockworld_3d_animation.gif,,,,
BlocksTriangleBridge.txt,strong,A Star Search [delete-relaxation-hadd],True,True,7,7,61,576,44.2318,outputs/runs/BlocksTriangleBridge/strong/stdout.txt,outputs/runs/BlocksTriangleBridge/strong/stderr.txt,outputs/runs/BlocksTriangleBridge/strong/plan.txt,outputs/runs/BlocksTriangleBridge/strong/metrics.json,outputs/runs/BlocksTriangleBridge/strong/trace.json,outputs/runs/BlocksTriangleBridge/strong/search_profile.json,outputs/visualizations/BlocksTriangleBridge/strong/plan_panel.png,outputs/visualizations/BlocksTriangleBridge/strong/plan_animation.gif,outputs/visualizations/BlocksTriangleBridge/strong/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleBridge/strong/blockworld_3d_animation.gif,,,,
BlocksTriangleBridge.txt,weighted_ff,"Weighted A Star Search [w=5, delete-relaxation-relaxed-plan]",True,True,7,15,105,576,40.768,outputs/runs/BlocksTriangleBridge/weighted_ff/stdout.txt,outputs/runs/BlocksTriangleBridge/weighted_ff/stderr.txt,outputs/runs/BlocksTriangleBridge/weighted_ff/plan.txt,outputs/runs/BlocksTriangleBridge/weighted_ff/metrics.json,outputs/runs/BlocksTriangleBridge/weighted_ff/trace.json,outputs/runs/BlocksTriangleBridge/weighted_ff/search_profile.json,outputs/visualizations/BlocksTriangleBridge/weighted_ff/plan_panel.png,outputs/visualizations/BlocksTriangleBridge/weighted_ff/plan_animation.gif,outputs/visualizations/BlocksTriangleBridge/weighted_ff/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleBridge/weighted_ff/blockworld_3d_animation.gif,,,,
BlocksTriangleBridge.txt,greedy_ff,Greedy Best First Search [delete-relaxation-relaxed-plan],True,True,7,15,105,576,40.7616,outputs/runs/BlocksTriangleBridge/greedy_ff/stdout.txt,outputs/runs/BlocksTriangleBridge/greedy_ff/stderr.txt,outputs/runs/BlocksTriangleBridge/greedy_ff/plan.txt,outputs/runs/BlocksTriangleBridge/greedy_ff/metrics.json,outputs/runs/BlocksTriangleBridge/greedy_ff/trace.json,outputs/runs/BlocksTriangleBridge/greedy_ff/search_profile.json,outputs/visualizations/BlocksTriangleBridge/greedy_ff/plan_panel.png,outputs/visualizations/BlocksTriangleBridge/greedy_ff/plan_animation.gif,outputs/visualizations/BlocksTriangleBridge/greedy_ff/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleBridge/greedy_ff/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,bfs,Breadth First Search,True,True,11,56160,69773,810,9412.51,outputs/runs/BlocksTriangleTwinTowers/bfs/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/bfs/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/bfs/plan.txt,outputs/runs/BlocksTriangleTwinTowers/bfs/metrics.json,outputs/runs/BlocksTriangleTwinTowers/bfs/trace.json,outputs/runs/BlocksTriangleTwinTowers/bfs/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/bfs/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/bfs/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/bfs/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/bfs/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,astar,A Star Search [delete-relaxation-relaxed-plan],True,True,11,1148,7947,810,5446.2,outputs/runs/BlocksTriangleTwinTowers/astar/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/astar/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/astar/plan.txt,outputs/runs/BlocksTriangleTwinTowers/astar/metrics.json,outputs/runs/BlocksTriangleTwinTowers/astar/trace.json,outputs/runs/BlocksTriangleTwinTowers/astar/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/astar/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/astar/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/astar/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/astar/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,astar_goal,A Star Search [unsatisfied-goals],True,True,11,1452,4916,810,269.018,outputs/runs/BlocksTriangleTwinTowers/astar_goal/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/astar_goal/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/astar_goal/plan.txt,outputs/runs/BlocksTriangleTwinTowers/astar_goal/metrics.json,outputs/runs/BlocksTriangleTwinTowers/astar_goal/trace.json,outputs/runs/BlocksTriangleTwinTowers/astar_goal/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/astar_goal/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/astar_goal/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/astar_goal/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/astar_goal/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,astar_hadd,A Star Search [delete-relaxation-hadd],True,True,11,11,167,810,151.347,outputs/runs/BlocksTriangleTwinTowers/astar_hadd/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/astar_hadd/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/astar_hadd/plan.txt,outputs/runs/BlocksTriangleTwinTowers/astar_hadd/metrics.json,outputs/runs/BlocksTriangleTwinTowers/astar_hadd/trace.json,outputs/runs/BlocksTriangleTwinTowers/astar_hadd/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/astar_hadd/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/astar_hadd/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/astar_hadd/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/astar_hadd/blockworld_3d_animation.gif,,,,
BlocksTriangleTwinTowers.txt,optimal,A Star Search [delete-relaxation-hmax],True,True,11,5652,23128,810,20571.5,outputs/runs/BlocksTriangleTwinTowers/optimal/stdout.txt,outputs/runs/BlocksTriangleTwinTowers/optimal/stderr.txt,outputs/runs/BlocksTriangleTwinTowers/optimal/plan.txt,outputs/runs/BlocksTriangleTwinTowers/optimal/metrics.json,outputs/runs/BlocksTriangleTwinTowers/optimal/trace.json,outputs/runs/BlocksTriangleTwinTowers/optimal/search_profile.json,outputs/visualizations/BlocksTriangleTwinTowers/optimal/plan_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/optimal/plan_animation.gif,outputs/visualizations/BlocksTriangleTwinTowers/optimal/blockworld_3d_panel.png,outputs/visualizations/BlocksTriangleTwinTowers/optimal/blockworld_3d_animation.gif,,,,
